"listing_name","listing_location","listing_description","listing_salary"
"Vice President, Finance","Philadelphia, PA 19146 (Point Breeze area)","Vice President, Finance
Exyn Technologies is pioneering autonomous aerial robot systems for complex, GPS-denied environments. The company’s full-stack solution enables flexible deployment of single or multi-robots that can intelligently navigate and dynamically adapt to complex environments in real-time.
In layman's terms, we’re paving the way; And this groundbreaking work requires a talented, passionate, team. As such, we are currently on the market for a Vice President, Finance
We imagine that you find yourself reading this job description because the job title, the robots, or other sparked your interest. Whatever the reason, we’re glad that you’re here. And, if you are compelled by an opportunity to make an impact and build something from the ground up, we encourage you to read on.
The Role:
As our first, in-house finance lead, you will develop the strategic financial vision needed to support Exyn’s growth. You will serve as a business partner, assuming a role in the overall management of the company by planning, implementing, managing, controlling, and advising all financial-related activities. Responsibilities will include, but are not limited to:
Working closely with the senior management team to develop/enhance existing short-term and long-term financial and operational strategies
Leading and managing fund raising activities including interaction with investors
Proactively anticipating, modeling and guiding management in best financial practices
Driving the budgeting and planning process
Communicating the company’s strategic direction and managing Board and investor reporting
Monthly/quarterly budget vs. actual variance analysis
Production of financial reports, implementing and maintaining accounting systems, establishing controls, and ensuring that the company's financials are compliant with GAAP
Managing annual audit process
Overseeing banking relationships and proactively monitoring financial and operational requirements (e.g. lines of credit, account balances)
Ensuring legal and regulatory compliance regarding all financial functions (e.g. tax reporting/filing)
Developing KPIs
We’re looking for:
BSc/BA in Accounting, Finance or relevant field and 10+ years experience
Experience successfully closing equity financing round
Fundraising experience
In depth knowledge of corporate financial law and risk management practices
Excellent knowledge of data analysis and forecasting methods
Ability to strategize and solve problems
Strong leadership and organizational skills
An applicant who seeks to contribute to our diverse and inclusive workforce
Excellent communication and people skills
Bonus points for -
CPA
MBA
Experience in a startup
yryOMNnu8I",""
"Vice President, Finance","San Francisco, CA","Job Requisition ID #
21WD47719
Position Overview
Reporting to the CFO, the primary roles of the Vice President, Go to Market Finance are to provide strategic decision support and manage the finance leaders for the Business Strategy & Marketing (BSM) and Worldwide Field Operations (WWFO) teams. You will be an integral member of the CFO leadership team, with a dotted line relationship to both the Chief Marketing Officer and the Chief Revenue Officer.
The Go to Market (GTM) organizations include Autodesk BSM and WWFO divisions and are made up of more than 3750 employees. Revenues total nearly $4 billion, with expenses of approximately $925 million. The operating groups are dispersed throughout the world.
As leader of GTM Finance you will lead a team of approximately 140 staff located around the world, with concentration in San Francisco and San Rafael, CA, Portland, OR, Farnborough UK, Beijing China, Barcelona, Spain, Tokyo, Japan, Paris, France, Singapore, and India. You will be responsible for a budget of roughly $24 Million. This is a global role, driving strategy throughout the organization.
Responsibilities
Manage and provide strategic leadership to the GTM Finance organization which consists of six direct reports and ~140 global staff. Each direct report supports one or more senior leaders in Autodesk’s GTM organizations
Ensure Autodesk GTM organizations support continuing long-term growth and health through sound strategy and strong execution
Take a leadership role to drive the company’s business model and ensure the appropriate performance management processes and key management information are in place
Lead the billings, revenue, ARR, ACV, subscriptions and operating expense planning of GTM organizations in connection with the strategic and annual planning process, including related requisite modeling and sensitivity analysis
Manage the weekly/bi-weekly forecasting process for all topline metrics, including forecast calls ensuring that they are timely and reliable
Manage operating expenses of GTM organizations. Ensure we operate within approved spending levels, and drive productivity improvements throughout the organization. Support the Chief Marketing Officer and the Chief Revenue Officer in connection with the optimal management of the operating expenses of BSM and WWFO, as well as the GTM teams in each organization, with an emphasis on on-going productivity improvements in all areas of the business
Provide critical decision-making support regarding the allocation and monitoring of investment funds which may become available from time to time to accelerate future growth
Drive ad hoc analysis critical to maximizing the effectiveness of the GTM organizations in the near, medium and long-term
Analyze business results, providing deep insight into on-going trends and performance
Ensure commission plan design drives desired outcomes, supports our expense budget, and ensure the commissions can be properly forecasted and calculated. Ensure forecast for this expense of more than $90 million is timely and accurate
Ensure compliance with sales contracting, discounting, and revenue recognition policies and processes as well as all applicable laws, regulations and company policies
Ensure optimal commercial success for Autodesk, reviewing non-standard deals as member of Corporate Deal Review Board
Support development of Autodesk channel strategy and framework. Ensure programs can be properly implemented, forecasted, calculated and paid
Develop and report on Autodesk long term price realization goals
Manage, train and develop Go to Market finance team. Be an active mentor across the Autodesk organization
Drive global finance initiatives involving broad cross functional teams
Minimum Qualifications
Experienced leader and financial executive with 15 years of broad, results–driven finance experience, ideally in a large public software company
Energetic, forward thinking and creative with the highest ethical standards
Strong accounting and finance skills
Strong record of accomplishments
Focus on process improvement and driving execution
Lead from the front mindset is critical
Strong process orientation
Good communication skills with the ability to influence effectively
MBA and/or CPA certification.
Ability to travel at least 6-7 times per year
At Autodesk, we're building a diverse workplace and an inclusive culture to give more people the chance to imagine, design, and make a better world. Autodesk is proud to be an equal opportunity employer and considers all qualified applicants for employment without regard to race, color, religion, age, sex, sexual orientation, gender, gender identity, national origin, disability, veteran status or any other legally protected characteristic. We also consider for employment all qualified applicants regardless of criminal histories, consistent with applicable law.
Are you an existing contractor or consultant with Autodesk? Please search for open jobs and apply internally (not on this external site). If you have any questions or require support, contact Autodesk Careers .",""
"Vice President, Finance","Washington, DC 20036 (Downtown area)","Company Description
RockCreek is a leading global investment management firm that applies data-driven technology and innovation to sustainable investing. RockCreek’s entrepreneurial spirit, open culture, and inclusive team lead to better investments for universities, foundations, pension plans, and sovereign funds that partner with us. The firm is highly focused on the integration of environmental, social, and governance (ESG) factors as well as diversity and sustainable impact across portfolios to generate long-term returns. RockCreek has a culture of diversity, debate, and relentless drive to excel.
Job Description
RockCreek is looking for a Vice President of Finance who will oversee accounting and financial planning and analysis, scale our capabilities and support the growth of the firm. The Finance and Accounting team has the primary responsibility for establishing processes for financial reporting including monthly and quarterly reporting including budget and financial forecasting for management, as well as year-end financial statement preparation and audit.
We are looking for someone with work experience in a large public accounting firm or asset management company and passionate about delivering quality results and driving continual improvement in a dynamic, high-growth environment. This person should have hands-on experience in the processes for financial planning, analysis and reporting with strong attention to detail, excellent verbal and written communication skills. This position has high visibility to upper management and collaborates closely with other teams within the firm. The role will report to the CFO.
Specific Responsibilities:
Work collaboratively with the RockCreek’s management team on operational, product, and strategic decisions and provide support on new products and firm initiatives
Own the processes and provide strategic inputs to management on financial forecasting, budgeting, and quarterly/annual business planning for the firm
Further develop and improve the firm’s financial forecasting models
Oversee and manage the preparation of financial reports to ensure that the financial statements adhere to GAAP requirements
Maintain and execute proper procedures to ensure adequacy and effectiveness of internal controls over financial reporting
Conduct financial and business review of fund investment assets using appropriate inputs and assumptions
Identify and address financial opportunities and risks for the firm and provide advice on financial and business operations matters
Proactively analyze the impact of new accounting standards to the firm’s financial reporting
Management of the Tax Reporting and responsibility for Tax Efficiency in collaboration with a Big 4 accounting firm as tax advisors
Manage communications with external auditors on financial statements and accounting issues to ensure alignment with company decisions on accounting disclosures and issues
Qualifications
Bachelor’s degree in Accounting or Finance
10+ years of relevant work experience in corporate finance ideally with an asset management company or a Big 4 or national accounting firm
Excellent knowledge of the U.S. GAAP and SEC Investment Advisers Act of 1940, including ability to research accounting literature, establish a position and develop procedures for implementation
Highly motivated and proactive with excellent project management, organizational, oral and written communication skills
Ability to work as part of a team and communicate with all levels of the organization
Active CPA license
Additional Information
Please note this position is based in Washington DC with flexibility for some remote work.
Benefits
Consistent with our belief that team members are our most valuable asset, RockCreek offers a competitive benefits package.
Remote work technology
Medical, dental, and vision insurance; dependents eligible
401(k) retirement plan with company match
Paid time off, sick leave, and company holidays
Wellness programs including remote meditation and fitness classes
Onsite gym
Additional Information
For additional information on RockCreek, please visit https://therockcreekgroup.com
Follow us on LinkedIn: https://linkedin.com/company/the-rock-creek-group",""
"Vice President, Finance (IGA)","Santa Monica, CA 90404 (Mid-City area)","We are UMG, the Universal Music Group. We are the world’s leading music company. In everything we do, we are committed to artistry, innovation, and entrepreneurship. We own and operate a broad array of businesses engaged in recorded music, music publishing, merchandising, and audiovisual content in more than 60 countries. We identify and develop recording artists and songwriters, and we produce, distribute and promote the most critically acclaimed and commercially successful music to delight and entertain fans around the world.
How you'll Create
Support and assist with the monthly financial close in coordination with Central Accounting Services (CAS). Including review of results, working with CAS & Corporate Finance to resolve issues, and preparing supporting information / schedules where necessary.
Coordinate & oversee the preparation of corporate forecasts and the annual plan.
Point person for Financial Operations (Accounts Payable) team, including review / approval of vendor information, invoices, expenses & rush requests.
Assist with review of contractual profit split & distribution statements.
Work with UMG Compliance team to ensure controls narratives are kept up to date & controls testing is completed periodically.
Special projects as required, including working with other departments across UMG & external partners.
Expected to enhance and modify models and databases as needed.
Bring Your Vibe
Strong analytical and problem-solving skills required.
Demonstrable proficiency in the use of spreadsheet, accounting and financial applications software; SAP experience/knowledge preferred.
Proficiency with MS Office products including advance skills in Excel and Power Point.
Must possess apolitical experience with monthly close, forecasting, Expenses.
Great organizational skills with the ability to prioritize based on evolving workload.
Strong communication skills with the ability to relay information executives and management, while being sensitive to confidential information.
Strong interpersonal and teamwork skills, including adaptability, personal effectiveness, and the ability to establish quick rapport.
Strong organizational and time management skills.
Must be a self-starter with the ability to prioritize and effectively follow through under pressure and/or tight deadlines.
Music or Entertainment Company experience a plus.
Perks Playlist:
Competitive Compensation Package including Salary, Benefits and Generous 401k Savings Plan
Paid Time Off – Paid Holidays, “Gift Week”, Summer Fridays
Student Loan Repayment Assistance
Employee Developmental Support
Annual Gym Reimbursement Package
Pet Insurance, plus muchmore!
Universal Music Group is an Equal Opportunity Employer.
Disclaimer
This job description only provides an overview of job responsibilities that are subject to change.",""
"Vice President, Financial Planning & Analysis Job","Westborough, MA 01582","BJ's Wholesale Club was the first retailer to introduce the warehouse club concept in the northeastern United States. Today, we’re a multibillion dollar operation with more than 200 clubs in 17 states from Maine to Florida.
While our Members know us for helping them save up to 25% off grocery prices every day, our Team Members love us for providing a supportive and engaging workplace that’s committed to developing great talent.
If you’re a motivated and enthusiastic person who enjoys working collaboratively and is committed to providing great service for our Members, we want to hear from you. BJ’s offers a fast-paced, team environment with great training opportunities and competitive salary and benefits packages to help you succeed.
The Vice President, Financial Planning & Analysis will be responsible for the budgeting, forecasting, planning and analysis for the entire Company, a $13B retail sector public company. This role is highly visible and reports directly to the Senior Vice President of Finance.
Responsibilities:
Responsible for analyzing organizational budgets and performing periodic planning, forecasting, analysis, and reporting.
Develops key performance indicators measuring the financial health of the Company or assigned units or functions.
Leads the continuous improvement of financial and business intelligence system’s infrastructure to drive precision and accuracy of all financial planning, forecasting and reporting processes, as well as to provide timely, accurate and insightful analysis of financial statements, annual budgets, financial trends, and ongoing forecasts.
Reviews past and current financial performance against budget and develops models that assist management in understanding the financial impact of business decisions.
Develops strategies meant to assist the organization in meeting its long-term financial objectives.
Leads and directs the work of other employees and has responsibility for personnel actions including hiring, performance management, and termination.
Collaborates with other members of the executive management team to align departmental strategy or direction with the overall goals of the organization.
Develops policies, practices, and procedures that have a significant impact on the organization.
Leads the annual long-range forecast process and prepare presentation for executive management and the Board.
Oversees work related to optimizing company resources and improving profitability through tactics and strategies related to pricing strategies, use of manpower, and product development.
Special projects as assigned by management.
Experience & Qualifications:
Bachelor’s degree required, Accounting, Finance or Economics concentration preferred
CPA or other professional accounting or finance qualification strongly preferred
15 years relevant experience
Retail or CPG industry background preferred
Skills:
Demonstrated experience in organizing and leading Finance processes, including Annual Budget, Forecasting and Strategic Planning processes
Deep understanding of balance sheets, revenue drivers, margin and reporting methodologies
Significant experience partnering with senior management
Excellent communication and presentation skills
Strategic thinking – demonstrated ability to provide insightful recommendations to executive team
Highly organized and detail oriented.
Strong analytical and problem resolution skills, including the ability to research and simplify complex situations
BJ's Wholesale Club is committed to a policy of equal employment opportunity for all qualified team members and applicants for employment without regard to race, religion, color, sex, sexual orientation, age, ancestry, national origin, physical and/or mental disability, genetic information, atypical cellular or blood trait, marital and/or familial status, pregnancy, gender identity and expression, military or veteran status, or any other characteristics protected by applicable law.",""
"VICE PRESIDENT FINANCE","Dallas, TX 75237 (Wolf Creek area)","Your Job:
The VICE PRESIDENT - FINANCE of METHODIST CHARLTON MEDICAL CENTER will maximize the hospital’s financial performance and contribution to the overall health care system’s strategic and operational goals through innovative leadership and accountability. Supports and promotes the vision, mission, and strategic plans of Methodist Health System
Your Job Requirements:
Bachelor’s Degree in Accounting or Finance related major.
Licenses and/or Certifications (Required and Preferred):
Certified Public Accountant – preferred.
3 - 5 years’ experience in a hospital accounting environment.
1 – 3 years of supervisory experience.
Proficient in the use of computers, and the development and monitoring of financial statements and accounting practices.
Your Job Responsibilities:
In keeping with MHS Corporate Finance budget plan, policies and procedures, coordinates the hospital’s formal budget program, including, but not limited to, capital, salary, productivity, supply, expense, and revenue budgets.
Performs daily, weekly, monthly, quarterly and annual analyses and reviews to ensure budgetary oversight and compliance for the hospitals and the operating departments.
Directs the overall hospital financial management processes through interactions with hospital executives, cost center managers, and corporate departments to enhance efficiency and quality of services.
Coordinates hospital participation and works with Business Development and Corporate Finance concerning expansion of existing services and new hospital services.
Assists in the preparation of statistical and financial reporting to external agencies with coordination and oversight from Corporate Finance.
Provides leadership and oversight to ensure maximum compliance with regulatory agencies, MHS accounting standards, controls, organizational goals, policies, procedures and contract terms.
Serves as the hospital leader in providing and coordinating financial education and orientation to the hospital staff.
Position located at:
METHODIST CHARLTON MEDICAL CENTER
3500 W Wheatland Road
Dallas TX 75237
Location: Methodist Health System · ADMINISTRATION
Schedule: Full-time, Day, 8:00",""
"Vice President, Finance","Hemet, CA 92545","Wondering what’s within Danaher? Take a closer look.
At first glance, you’ll see Danaher’s scale. Our 67,000 associates work across the globe at more than 20 unique operating companies within four platforms—life sciences, diagnostics, water quality, and product identification. Look again and you’ll see the opportunity to build a meaningful career, be creative, and take risks with the support you need to be successful. You’ll find associates who are as certain about their impact as they are about where they’re headed next. You’ll find the Danaher Business System , which makes everything possible. You’ll also see a company that investors trust—our culture of continuous improvement has helped us outperform the S&P 500 by more than 5,000% over the past 25 years.
And no matter where you look at Danaher, at the heart of what we do, you’ll witness our shared purpose—helping realize life’s potential—in action. Whether we’re enabling our customers to provide clean water, supporting a life-saving vaccine development, advancing a new instrument for cancer diagnosis, or ensuring product safety, our work helps improve millions of lives.
We hope you’ll see yourself here, too. What you find at Danaher—and within yourself— might just change the world.
Job Summary:
The Vice President, Finance is a key member of McCrometer’s leadership team, reporting directly to the President. This critical role develops and maintains our Finance organization to deliver accounting records, financial statements & reporting, and business insights from financial analysis that are on-time, accurate and compliant. This leader will also partner and influence leadership to ensure achievement McCrometer's working capital targets. Finally, this role will contribute to the development and execution of our annual strategic plans, own & lead the company’s annual budgeting process and periodically lead acquisition due diligence and integration activities.
Key Responsibilities / Essential Functions:
Build a highly-engaged, high-performing and diverse team of strong business partners.
Continuously inspire empower the team to perform at their highest levels
Parter with business leaders to conduct detailed financial and business analyses to identify key business insights & potential problems, determine root causes and recommend appropriate solutions
Develop and maintain forecasting processes that accurately predict future performance and empower actions to ensure the business achieves its targets
Develop and maintain functional and OpCo reporting processes that accurately describe performance of key business and financial parameters
Lead financial portion of the strategic planning process, ensure accuracy of current and prior year financials, confirm results from initiatives are properly scoped, presented, tracked and reported
Own and lead the annual financial budget process, ensuring strong stakeholder involvement & alignment
On time submission of accurate financial statements that follows US GAAP and Danaher accounting practices
Develop and maintain appropriate internal controls
Qualifications:
Bachelor's Degree in Finance or Accounting; CPA/MBA preferred
8 to 10 years of increasing responsibility in Accounting and Finance roles
4 years of demonstrated team leadership across multiple locations & countries is a plus
Integrated ERP experience is required. Experience with Oracle preferred
Experience in implementation of financial accounting systems is a plus",""
"Vice President of Finance","President, PA","LENA is a game changer in early childhood. Research shows that back-and-forth interaction (conversational
turns) between children and their adult caregivers in the earliest years is a key to school readiness and long-term
outcomes. We integrate our patented “talk pedometer” technology into programs to increase capacity of parents,
caregivers, and teachers to accelerate children’s language development and school readiness.
We’re seeking a Vice President of Finance, a leadership position reporting to the President/CEO. In this role you’ll
be responsible for overseeing the organization’s financial and accounting activities, reporting, systems, and team, as
well as organization-wide human resources, for a 501(c)(3) nonprofit whose financial resources and flows comprise
a mix of business-to-business earned revenue and philanthropic sources.
You will be joining a small and expanding organization that is experiencing double-digit growth, helping us reach
100,000 children per year by 2025. As a member of the Leadership Team, you’ll help set strategic and tactical
direction as we define, refine, and execute on the business, customer, cultural, supplier, and technology supports
we need in place to achieve our goals. While simple on the outside, LENA has the complexities and challenges of a
retail, educational services technology provider, manufacturer, warehouse, and nonprofit rolled into a single
organization. This is an unmatched opportunity to shape a growing organization and the world.
Responsibilities:
Serve on LENA’s Leadership Team, developing a deep understanding of LENA’s business and working with people
across the organization.
Management of the accounting and back-office operations and team (4 persons), identifying opportunities to
improve processes, technology, and communications while maintaining appropriate financial controls and
compliance.
Overall responsibility for the human resources function, including championing the team’s commitment to our
values; the hiring, annual review, and termination processes; and benefits and 401(k) supported by outside
parties.
Working closely with the President/CEO and Leadership Team, lead the annual budget process and model sales,
staffing, inventory, and other forecasts; help drive performance to the same through KPIs and other reporting.
Working with President/CEO and Board Treasurer, forecast and proactively manage cash needs.
Manage gift/contribution and grant accounting and compliance.
We are looking for a Vice President of Finance who:
Believes in LENA’s mission and vision and lives our core values with integrity.
Has 10+ years of progressive experience in public accounting and finance (CPA license a plus), including a mix of
both for-profit and nonprofit organizations; 5+ years managing people.
Really, really enjoys wearing multiple hats and digging into a diverse set of business challenges.
Adept at teaching/guiding others through complex topics, solving problems and improving processes, and
applying deep knowledge in a range of accounting tools and ERP systems (NetSuite experience preferred).
LENA’s team is passionate, fun, and supportive. To learn more, visit www.lena.org/joinourteam. We offer an
excellent benefits package. The salary range for this role starts at $125,000. To apply, please submit cover letter with
salary/compensation requirements and resume as a single pdf document to hr@lena.org.
LENA is an equal opportunity employer. All employment is decided on the basis of qualifications, merit, and business
need. We are committed to building a team that represents a variety of backgrounds, identities, perspectives, and
skills. The more inclusive we are, the better our work will be. EOE/M/F/D/V","$125,000 a year"
"Vice President of Finance & Planning","Bend, OR 97701 (Larkspur area)","Phenomenal opportunity with an industry leader!
We started in 1952 when Les Schwab bought one tire store in Central Oregon. Since then, we have remained true to Les Schwab's vision of World-class Customer Service and unsurpassed benefits and opportunity to our employees. Today, we have nearly 500 locations including Retail Tire Stores, Distribution Center, Production, Transport, Equipment, and Headquarters.
We have a collaborative, high-energy work environment where team members are empowered to “run with” ideas to improve processes. As the largest tire dealer in the western states, you will have a meaningful leadership role guiding our finance and cash management departments and overseeing budgeting and planning functions within the company. We look for candidates who are not satisfied with the status quo, are intellectually curious and confident in their abilities. If you are looking to join a dynamic, exciting and growing leader, consider Les Schwab!
The Vice President of Finance and Planning reports to the Chief Financial Officer and is based out of our headquarters in Bend, OR.
Primary responsibilities/functions you are responsible for:
Oversee the Financial Planning and Analysis function, providing leadership and direction to the Director of Financial Planning and Analysis.
Oversee the Budgeting and Planning functions within the Company. This includes leading the effort to monitor and improve budgeting processes over time.
Facilitate the analysis, design and development of resource forecasts including the need for internal and external resources and associated funding.
Oversee the Credit and Cash Management function within the Company, providing leadership and direction to the Director of Credit and Cash Management. This includes working towards an optimized credit function based on strategic objectives and opportunities.
Engage with the executive team to help drive financial planning discussions with respect to future strategic growth plans and funding mechanisms for growth.
Direct efforts to analyze and evaluate alternative financial plans and evaluation of proposed financial terms of strategic company initiatives
When necessary, perform financial analysis of vendors and strategic partners as part of selections or other major engagements/arrangements with third parties
Lead program management efforts, monitoring and coordinating key project management related activities across the organization. Assist specific project/program managers when appropriate with vendor and resource management functions as well as with addressing other risks and issues when escalated.
Qualifications:
Bachelors and/or Masters of Finance, MBA or other similar degree
15 - 20 years of related experience including:
Experience leading large finance and accounting teams and directing the associated work
Experience working with and engaging senior executives in strategic decision making
Deep experience specifically with financial planning and analysis, corporate planning and program management
Experience overseeing large programs and project portfolios
Experience working with financial institutions on cash management and debt financing arrangements and associated reporting requirements
Understanding of consumer credit programs and operations
CFA/CPA certification preferred
Knowledge of Oracle EPBCS (Hyperion) as well as other finance and accounting tools including Excel/Google Sheets
Knowledge of NetSuite is a plus
Les Schwab Tire Centers© is an equal opportunity employer. We do not discriminate on the basis of race, color, national origin, age, sex, sexual orientation, disability, ethnicity, marital status, veteran status or any other legally protected status.",""
"Vice President, Corporate Finance","Malvern, PA 19355","Location: Malvern, PA, US, 19355
Description:
Vice President, Corporate Finance
JOB SUMMARY:
The Vice President, Corporate Finance will be responsible for leading Novocure’s strategic tax and treasury initiatives with the support of a world-class team. This position will be directly responsible for global ownership of the Company’s tax structure and planning, foreign currency strategy, investment portfolio, insurance program and capital structure. She/he will function as the key finance contract for outside corporate finance service providers, and other tax, banking and financial service professions. This position is a senior finance role at Novocure is expected to contribute to a variety of additional strategic projects led by the CFO.
This exempt, full time position reports to the CFO, is a global role, and is located in our Malvern, PA office.
ESSENTIAL DUTIES AND RESPONSIBILITIES:
Responsible for the daily operations and strategic direction of Novocure’s global treasury and tax functions
Develop and implement global tax policies and procedures in close coordination with other finance functions
Manage legal entity structures for tax planning and compliance
Analyzing and communicating tax consequences of planned transactions/structures
Managing transfer pricing planning in close coordination with other finance functions
Supervise the filing of global corporate and subsidiary tax returns (income, sales/use, VAT)
Supervise the preparation of quarterly transfer pricing calculations
Review quarterly and annual global tax provisions and SEC disclosures
Accountable for calculating the global tax reserves in accordance with GAAP
Manage income tax examinations and audits
Forecast cash flow positions, related borrowing needs, and funds available for investment
Manage investment portfolio in line with approved investment policy
Mitigate financial risks related to interest rates and foreign exchange positions
Maintain banking and credit rating agency relationships
Arrange for equity and debt financing as required
Supervise treasury operations
Develop and execute insurance strategies and financing techniques to appropriately mitigate risks
Maintain a system of policies and procedures that impose an adequate level of control over tax and treasury activities, including the review and sign-off of 10-Q and 10-K financial statements
Other duties as deemed necessary
QUALIFICATIONS/KNOWLEDGE:
BA/BS degree and a Master’s degree in taxation or comparable advanced degree
15+ years of relevant work experience
Strong analytical skills and decision-making capability
Significant experience in a tax department of a multi-national public company, including supervisory experience, preferably in the life science industry
Thorough understanding of investments, bank account management, international funds flows and financial risk management
Demonstrated ability to communicate complex issues, both in written and oral form
OTHER:
Ability to lift up to 20 pounds
ABOUT NOVOCURE:
Our vision
Patient-forward: aspiring to make a difference in cancer.
Our patient-forward mission
Together with our patients, we strive to extend survival in some of the most aggressive forms of cancer by developing and commercializing our innovative therapy.
Our patient-forward values
– innovation
– focus
– drive
– courage
– trust
– empathy
#LI-TC1
Nearest Major Market: Philadelphia",""
