"listing_name","listing_location","listing_salary","listing_description"
"Vice President of Finance","Houston County, GA","$55,000 - $80,000 a year","Vice President of Finance and Chief Administrative Officer
The Vice President of Finance & Chief Administrative Officer is the organization’s chief financial officer. The Vice President is expected to demonstrate a high standard of ethical business conduct, to function with minimal supervision and serve as a core member of the Senior Staff team. He/she is responsible for the oversight and management of all functions related to Finance, Information Technologies and Facilities. Major responsibilities include (a) serving as a strategic business partner by advising and counseling on matters of a financial nature, including operating and capital budgets, community investments, donor recognition, payment and gift acknowledgements, contracts, agreements and the compliance thereof, financial statements, external audits, cash and investment management, etc. (b) leading the information management/technology and facilities functions (c) managing an enterprise risk program; (d) ensuring that policies and procedures for internal control purposes are current and communicated in order to safe guard assets; (e) and leading and inspiring a staff and providing ongoing development and training for the future stability of the organization.
Job Type: Full-time
Pay: $55,000.00 - $80,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Disability insurance
Employee assistance program
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Retirement plan
Vision insurance
Schedule:
Monday to Friday
Education:
Bachelor's (Required)
Experience:
accounting, information technology or related business: 10 years (Required)
supervisory: 3 years (Required)
Work Location:
One location
Work Remotely:
Temporarily due to COVID-19"
"VP of Engineering, Boston, Up to $300k Plus Bonus & Equity","Boston, MA 02110 (Downtown area)","$220,000 - $300,000 a year","MPI does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, disability, veteran status, marital status, or based on an individual's status in any group or class protected by applicable federal, state or local law. MPI encourages applications from minorities, women, the disabled, protected veterans and all other qualified applicants.
Description
Leading and overseeing an Engineering team with employees in both the US and India
Building a roadmap for the growth and continued success of the Engineering team
Working closely with the SVP of Engineering and leadership team within the organization to ensure best practice across not just the engineering team, but the entire organization
The successful candidate has:
Experience as a Software Engineering Manager and/or VP of Engineering
Experience leading Engineering teams in both the US and India
DevOps and DevSecOps experience
Product SaaS experience
Cloud compliance, Container Security experience
Experience managing an engineering team of 50+
Experience overseeing a multi-million dollar budget
AWS, Azure and/or GCP experience
As this is a confidential search more details can be provided once you have applied for the position.
This is a global software organization with revenue in excess of half a billion dollars with operations in locations including the US, India and Europe.
This organization has thousands of enterprise clients, and an extremely strong vendor portfolio, and has been in business for 25+ years.
A base salary of up to $300k depending on experience
Bonus potential of up to 40% of your annual base salary
Equity in the organization
Remote flexibility
Excellent benefits
International travel (when possible)
The chance to lead a business unit of one of the most successful software organization's in the world!"
"Vice President, Finance","Philadelphia, PA 19146 (Point Breeze area)","","Vice President, Finance
Exyn Technologies is pioneering autonomous aerial robot systems for complex, GPS-denied environments. The company’s full-stack solution enables flexible deployment of single or multi-robots that can intelligently navigate and dynamically adapt to complex environments in real-time.
In layman's terms, we’re paving the way; And this groundbreaking work requires a talented, passionate, team. As such, we are currently on the market for a Vice President, Finance
We imagine that you find yourself reading this job description because the job title, the robots, or other sparked your interest. Whatever the reason, we’re glad that you’re here. And, if you are compelled by an opportunity to make an impact and build something from the ground up, we encourage you to read on.
The Role:
As our first, in-house finance lead, you will develop the strategic financial vision needed to support Exyn’s growth. You will serve as a business partner, assuming a role in the overall management of the company by planning, implementing, managing, controlling, and advising all financial-related activities. Responsibilities will include, but are not limited to:
Working closely with the senior management team to develop/enhance existing short-term and long-term financial and operational strategies
Leading and managing fund raising activities including interaction with investors
Proactively anticipating, modeling and guiding management in best financial practices
Driving the budgeting and planning process
Communicating the company’s strategic direction and managing Board and investor reporting
Monthly/quarterly budget vs. actual variance analysis
Production of financial reports, implementing and maintaining accounting systems, establishing controls, and ensuring that the company's financials are compliant with GAAP
Managing annual audit process
Overseeing banking relationships and proactively monitoring financial and operational requirements (e.g. lines of credit, account balances)
Ensuring legal and regulatory compliance regarding all financial functions (e.g. tax reporting/filing)
Developing KPIs
We’re looking for:
BSc/BA in Accounting, Finance or relevant field and 10+ years experience
Experience successfully closing equity financing round
Fundraising experience
In depth knowledge of corporate financial law and risk management practices
Excellent knowledge of data analysis and forecasting methods
Ability to strategize and solve problems
Strong leadership and organizational skills
An applicant who seeks to contribute to our diverse and inclusive workforce
Excellent communication and people skills
Bonus points for -
CPA
MBA
Experience in a startup
yryOMNnu8I"
"Vice President, Corporate FP&A","San Francisco, CA","","Company Description
As the world’s leader in digital payments technology, Visa’s mission is to connect the world through the most creative, reliable and secure payment network - enabling individuals, businesses, and economies to thrive. Our advanced global processing network, VisaNet, provides secure and reliable payments around the world, and is capable of handling more than 65,000 transaction messages a second. The company’s dedication to innovation drives the rapid growth of connected commerce on any device, and fuels the dream of a cashless future for everyone, everywhere. As the world moves from analog to digital, Visa is applying our brand, products, people, network and scale to reshape the future of commerce.
At Visa, your individuality fits right in. Working here gives you an opportunity to impact the world, invest in your career growth, and be part of an inclusive and diverse workplace. We are a global team of disruptors, trailblazers, innovators and risk-takers who are helping drive economic growth in even the most remote parts of the world, creatively moving the industry forward, and doing meaningful work that brings financial literacy and digital commerce to millions of unbanked and underserved consumers.
You’re an Individual. We’re the team for you. Together, let’s transform the way the world pays.
Job Description
We have a unique opportunity that calls for an ambitious, hard-working, highly analytical Finance professional who will lead the Corporate FP&A team. This highly visible role includes frequent interaction with the CFO, Finance Leadership Team, and other senior leaders. The VP, Corporate FP&A will lead the analysis, preparation, and presentation of key business drivers and financial results to be used by the CEO, CFO, and President.
Responsibilities include:
Lead the global budgeting, forecasting, and management reporting processes
Drive an efficient, effective, and comprehensive process for developing financial plans and analysis that links to Visa’s strategic objectives
Ensure budget and forecast processes and management reporting yield business insights and drive recommendations and results
Partner closely with Controllership and Technology to create and implement a roadmap to improve financial tools and processes
Provide insight into Visa’s business drivers and financial forecasts and results
You will lead quantitative analysis of driver based metrics and financial results to deliver insights about Visa’s financial performance
Lead the storyboarding, analytical output and production of materials used for communication to the Visa Inc. Executive Committee and / or Board of Directors
Support the month-end, quarter-end and year-end reporting requirements with clear reporting, analysis, and insights
Develop business intuition to communicate the main implications observed from analysis
You will improve Visa’s financial performance through identification of business trends, implications, and recommendations
Build strong partnerships across finance function
Enhance communication and collaboration across finance function
Partner with geographic and functional finance teams to ensure alignment on financial performance and drivers of forecasts/results
Coordinate and manage analytical requests with other global and regional functions
Lead high-performing team with a focus on talent development
Enable and inspire a team of 14 across two locations
Qualifications
Basic Qualifications:
12 years of work experience with a Bachelor’s Degree or at least 10 years of experience with an Advanced degree (e.g. Masters/MBA/JD/MD) or at least 8 years of work experience with a PhD
Preferred Qualifications:
Professional
15+ years of progressive finance experience
MBA or relevant graduate degree or similar academic experience
In-depth understanding of the trends affecting the financial services, payments and ecommerce world
Strong customer focus
Extraordinary analytical and problem-solving skills, with demonstrated intellectual and analytical rigor
Ability to adapt to a dynamic, rapidly changing business environment
Advanced level of Excel, Word, Outlook and PowerPoint required
Financial Leadership
Drives profitable growth by analyzing results and advising senior management on insights and recommended actions
Deep experience in financial planning, reporting, and analysis
Ability to handle projects with multiple workstreams, with proven leadership success
Ability to structure, manage, and coordinate complex cross-enterprise projects and processes with multiple partners
Proven expertise in modeling techniques and managing large data sets
Business Leadership
Communicate compelling messages to senior executives and external business partners
Strong interpersonal and leadership skills to influence and build credibility as a ""peer"" with Global Functions and Regions
Collaborate and influence successfully within a highly matrixed organization
Team oriented, collaborative, diplomatic, and flexible, with excellent presentation skills, including strong oral and writing capabilities
Team Leadership
8+ years’ experience leading teams
Commitment to continuous training and improvement of employees throughout the finance function
Be decisive and willing to take action regarding decisions affecting the team
Committed to developing a team and building a strong succession pipeline for the future
Additional Information
Travel Requirements:
This position requires the incumbent to travel for work up to 25% of the time.
Physical Requirements:
This position will be performed in an office setting. The position will require the incumbent to sit and stand at a desk, communicate in person and by telephone, frequently operate standard office equipment, such as telephones and computers, and reach with hands and arms.
Visa is an EEO Employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability or protected veteran status. Visa will also consider for employment qualified applicants with criminal histories in a manner consistent with EEOC guidelines and applicable local law."
"Vice President, Finance & Controller","New York, NY 10004 (Financial District area)","","SCOPE OF THE POSITION:
The Vice President of Finance & Controller will provide leadership and be ultimately accountable for all finance and accounting functions and will serve as a strategic and valued member of the senior management team. The Vice President, Finance will play a significant role in the ongoing management and direction of the organization’s financial integrity and financial operations. The Vice President, Finance will uphold a standard of excellence in business practices and systems with a strong focus on maintaining the current high standard for accuracy, data integrity and regulatory compliance while seeking continuous improvements in process automation and optimizing use of technology tools. In this position, you must be able to adapt to a continually evolving environment and play a critical role in strengthening the financial management systems that supports the current and future growth of JDRF.
The Vice President Finance is responsible for directing the fiscal functions of the organization in accordance with generally accepted accounting principles issued by the Financial Accounting Standards Board, other regulatory, funding, and advisory organizations and in accordance with financial management techniques and practices appropriate within the non-profit sector.
This individual will lead a diverse and multi-disciplined finance team whose main purpose is to serve and support JDRF in its financial operations to meet and exceed department performance and mission goals. In conjunction with the CFO and Senior Finance team leadership, the VP develops strategies and plans for implementation and is responsible for standardizing processes and SOP materials, key resources and managing risk as it relates to expense and revenue recordings and opportunities and development efforts. The Vice President Finance manages, collaborates, and coaches a team led by four direct reports.
An equally important part of this role is to work proactively and collaboratively with various teams and management of JDRF to provide support and consultation to help our multiple chapter locations and our operating teams thrive.
Primary duties include:
Responsible for all finance and accounting functions including oversight maintenance and analysis of the general ledger, supporting the preparation of monthly financial statements, bank reconciliations, accounting support and control functions for all aspects of the organization’s business, including payroll, and bank transaction processing.
Work closely with senior management across JDRF to ensure efficient and effective financial processes, provide financial monitoring and oversight, ensure financial integrity as well as providing financial support and guidance.
Continually evolve process and workflow improvements, establish and monitor performance metrics, ensure best practices to facilitate timely, accurate, and actionable financial functions and reporting.
Establish cross functioning team partnerships throughout the Foundation serving our field and national teams. Key partnerships include Research & Grants Administration; Advocacy & Community Engagement; Fundraising; Technology; Planning & Analysis; Facilities and Internal Audit.
Direct internal control processes and procedures to prevent and detect fraud and to protect organization's resources and assets.
Manage the preparation and implementation of the annual financial audit, pension plan audit, regulatory and tax filings ensuring smooth and successful audits and filings.
Develop and maintain a staffing structure and high functioning team to effectively meet the needs of the organization and provide high quality, timely support to all internal constituents.
Identify opportunities and lead the process to establish the accounting function as collaborative and customer centric.
Maintain the integrity of asset valuation, cash processing, and accounting for all investment transactions.
Update and improve all applicable business and accounting policies, in accordance with best practices.
Collaborate with other key operations and business functions to ensure a working environment that is strategically focused, efficient, secure, and conducive to performance excellence
Qualifications
Experience:
Minimum of 10+ years of professional leadership experience managing accounting, budget, and financial reporting operations. This can be a combination of for-profit and non-profit experience with most recent experience of at least 3+ years in a non-profit environment.
Must have experience in a high-volume complex organization with lockbox and centralized data processing experience.
Must have strong leadership, direct management, coaching & mentoring experience leading a diverse multi-disciplined team.
Master’s degree in finance, business, or related field and current/active CPA certification. Candidates without CPA may be considered if combined with significant professional experience; directly related progressive financial experience in a large-scale nonprofit environment and a proven track record of strategic transformation of financial operations.
Knowledge of sophisticated ERP systems, MSD, Adaptive, Salesforce, or similar systems necessary.
Experience implementing new ERP and HRIS systems preferred.
Excellent written, verbal, and presentation skills, including the ability to effectively present complex financial data to non-financially trained professionals.
Experience initiating and leading change initiatives with significant organization-wide impact.
Experience in managing rapid growth in complex environments and developing innovative and creative ways to improve efficiencies, productivity, and effectiveness of an organization.
Experience with adopting and implementing best business practices in a fast-paced setting.
Experience working successfully within a highly collaborative and collegial organization.
Experience leading teams and working in a multi-disciplinary and multi-cultural setting.
Experience in leading annual audit processes with audit report and footnote disclosure preparation.
Demonstrated skill in building strong, effective teams and the ability to lead cross-functional teams.
Strong organizational and leadership skills to deliver results when faced with multiple, time-sensitive organizational priorities
Additional Information
All your information will be kept confidential according to EEO guidelines."
"Vice President, Finance","Washington, DC 20036 (Downtown area)","","Company Description
RockCreek is a leading global investment management firm that applies data-driven technology and innovation to sustainable investing. RockCreek’s entrepreneurial spirit, open culture, and inclusive team lead to better investments for universities, foundations, pension plans, and sovereign funds that partner with us. The firm is highly focused on the integration of environmental, social, and governance (ESG) factors as well as diversity and sustainable impact across portfolios to generate long-term returns. RockCreek has a culture of diversity, debate, and relentless drive to excel.
Job Description
RockCreek is looking for a Vice President of Finance who will oversee accounting and financial planning and analysis, scale our capabilities and support the growth of the firm. The Finance and Accounting team has the primary responsibility for establishing processes for financial reporting including monthly and quarterly reporting including budget and financial forecasting for management, as well as year-end financial statement preparation and audit.
We are looking for someone with work experience in a large public accounting firm or asset management company and passionate about delivering quality results and driving continual improvement in a dynamic, high-growth environment. This person should have hands-on experience in the processes for financial planning, analysis and reporting with strong attention to detail, excellent verbal and written communication skills. This position has high visibility to upper management and collaborates closely with other teams within the firm. The role will report to the CFO.
Specific Responsibilities:
Work collaboratively with the RockCreek’s management team on operational, product, and strategic decisions and provide support on new products and firm initiatives
Own the processes and provide strategic inputs to management on financial forecasting, budgeting, and quarterly/annual business planning for the firm
Further develop and improve the firm’s financial forecasting models
Oversee and manage the preparation of financial reports to ensure that the financial statements adhere to GAAP requirements
Maintain and execute proper procedures to ensure adequacy and effectiveness of internal controls over financial reporting
Conduct financial and business review of fund investment assets using appropriate inputs and assumptions
Identify and address financial opportunities and risks for the firm and provide advice on financial and business operations matters
Proactively analyze the impact of new accounting standards to the firm’s financial reporting
Management of the Tax Reporting and responsibility for Tax Efficiency in collaboration with a Big 4 accounting firm as tax advisors
Manage communications with external auditors on financial statements and accounting issues to ensure alignment with company decisions on accounting disclosures and issues
Qualifications
Bachelor’s degree in Accounting or Finance
10+ years of relevant work experience in corporate finance ideally with an asset management company or a Big 4 or national accounting firm
Excellent knowledge of the U.S. GAAP and SEC Investment Advisers Act of 1940, including ability to research accounting literature, establish a position and develop procedures for implementation
Highly motivated and proactive with excellent project management, organizational, oral and written communication skills
Ability to work as part of a team and communicate with all levels of the organization
Active CPA license
Additional Information
Please note this position is based in Washington DC with flexibility for some remote work.
Benefits
Consistent with our belief that team members are our most valuable asset, RockCreek offers a competitive benefits package.
Remote work technology
Medical, dental, and vision insurance; dependents eligible
401(k) retirement plan with company match
Paid time off, sick leave, and company holidays
Wellness programs including remote meditation and fitness classes
Onsite gym
Additional Information
For additional information on RockCreek, please visit https://therockcreekgroup.com
Follow us on LinkedIn: https://linkedin.com/company/the-rock-creek-group"
"Vice President, Finance & Controller","New York, NY","","Company Description
JDRF's mission is to accelerate life-changing breakthroughs to cure, prevent, and treat T1D and its complications. To accomplish this, JDRF has invested more than $2.5 billion in research funding since our inception. We are an organization built on a grassroots model of people connecting in their local communities, collaborating regionally for efficiency and broader fundraising impact and uniting on a national stage to pool resources, passion and energy. We collaborate with academic institutions, policymakers and corporate and industry partners to develop and deliver a pipeline of innovative therapies to people living with T1D. Our staff and volunteers throughout the United States and our five international affiliates are dedicated to advocacy, community engagement and our vision of a world without T1D. For more information, please visit jdrf.org or follow us on Twitter: @JDRF
Job Description
SCOPE OF THE POSITION:
The Vice President of Finance & Controller will provide leadership and be ultimately accountable for all finance and accounting functions and will serve as a strategic and valued member of the senior management team. The Vice President, Finance will play a significant role in the ongoing management and direction of the organization’s financial integrity and financial operations. The Vice President, Finance will uphold a standard of excellence in business practices and systems with a strong focus on maintaining the current high standard for accuracy, data integrity and regulatory compliance while seeking continuous improvements in process automation and optimizing use of technology tools. In this position, you must be able to adapt to a continually evolving environment and play a critical role in strengthening the financial management systems that supports the current and future growth of JDRF.
The Vice President Finance is responsible for directing the fiscal functions of the organization in accordance with generally accepted accounting principles issued by the Financial Accounting Standards Board, other regulatory, funding, and advisory organizations and in accordance with financial management techniques and practices appropriate within the non-profit sector.
This individual will lead a diverse and multi-disciplined finance team whose main purpose is to serve and support JDRF in its financial operations to meet and exceed department performance and mission goals. In conjunction with the CFO and Senior Finance team leadership, the VP develops strategies and plans for implementation and is responsible for standardizing processes and SOP materials, key resources and managing risk as it relates to expense and revenue recordings and opportunities and development efforts. The Vice President Finance manages, collaborates, and coaches a team led by four direct reports.
An equally important part of this role is to work proactively and collaboratively with various teams and management of JDRF to provide support and consultation to help our multiple chapter locations and our operating teams thrive.
Primary duties include:
Responsible for all finance and accounting functions including oversight maintenance and analysis of the general ledger, supporting the preparation of monthly financial statements, bank reconciliations, accounting support and control functions for all aspects of the organization’s business, including payroll, and bank transaction processing.
Work closely with senior management across JDRF to ensure efficient and effective financial processes, provide financial monitoring and oversight, ensure financial integrity as well as providing financial support and guidance.
Continually evolve process and workflow improvements, establish and monitor performance metrics, ensure best practices to facilitate timely, accurate, and actionable financial functions and reporting.
Establish cross functioning team partnerships throughout the Foundation serving our field and national teams. Key partnerships include Research & Grants Administration; Advocacy & Community Engagement; Fundraising; Technology; Planning & Analysis; Facilities and Internal Audit.
Direct internal control processes and procedures to prevent and detect fraud and to protect organization's resources and assets.
Manage the preparation and implementation of the annual financial audit, pension plan audit, regulatory and tax filings ensuring smooth and successful audits and filings.
Develop and maintain a staffing structure and high functioning team to effectively meet the needs of the organization and provide high quality, timely support to all internal constituents.
Identify opportunities and lead the process to establish the accounting function as collaborative and customer centric.
Maintain the integrity of asset valuation, cash processing, and accounting for all investment transactions.
Update and improve all applicable business and accounting policies, in accordance with best practices.
Collaborate with other key operations and business functions to ensure a working environment that is strategically focused, efficient, secure, and conducive to performance excellence
Qualifications
Experience:
Minimum of 10+ years of professional leadership experience managing accounting, budget, and financial reporting operations. This can be a combination of for-profit and non-profit experience with most recent experience of at least 3+ years in a non-profit environment.
Must have experience in a high-volume complex organization with lockbox and centralized data processing experience.
Must have strong leadership, direct management, coaching & mentoring experience leading a diverse multi-disciplined team.
Master’s degree in finance, business, or related field and current/active CPA certification. Candidates without CPA may be considered if combined with significant professional experience; directly related progressive financial experience in a large-scale nonprofit environment and a proven track record of strategic transformation of financial operations.
Knowledge of sophisticated ERP systems, MSD, Adaptive, Salesforce, or similar systems necessary.
Experience implementing new ERP and HRIS systems preferred.
Excellent written, verbal, and presentation skills, including the ability to effectively present complex financial data to non-financially trained professionals.
Experience initiating and leading change initiatives with significant organization-wide impact.
Experience in managing rapid growth in complex environments and developing innovative and creative ways to improve efficiencies, productivity, and effectiveness of an organization.
Experience with adopting and implementing best business practices in a fast-paced setting.
Experience working successfully within a highly collaborative and collegial organization.
Experience leading teams and working in a multi-disciplinary and multi-cultural setting.
Experience in leading annual audit processes with audit report and footnote disclosure preparation.
Demonstrated skill in building strong, effective teams and the ability to lead cross-functional teams.
Strong organizational and leadership skills to deliver results when faced with multiple, time-sensitive organizational priorities
Additional Information
All your information will be kept confidential according to EEO guidelines."
"Vice President of Finance","San Francisco, CA","","We are looking for a passionate and experienced Vice President of Finance to join our growing Finance team. Reporting to our Chief Financial Officer, they will lead and build our Finance team while partnering with senior leaders to grow our business and company. The Vice President of Finance will drive clarity and alignment between our strategy and financial results while building the operating cadence by which we measure our progress. They will help identify investments that push our business forward and ensure that we have the resources to support those investments. Additionally, this role will require strong communication skills, easily explaining our strategy, our performance, and opportunity to employees, investors, and our Board. What you'll be doing Build a team of highly engaged finance professionals Be a strategic and financial advisor to the executive team and business owners across the company Lead our financial planning process, ensuring our key strategic initiatives and operating plans are prioritized and funded appropriately Ensure optimal use of, and access to, capital to allow seamless execution against Discord's strategy Lead financings with private and public investors while minimizing the cost of capital Identify and report on key performance indicators to assist senior management and the Board in the ongoing management of the company Provide analytical insights to help accelerate growth and provide the team with operational insight to better manage the business Analyze business risks and opportunities, and make recommendations as they affect the financial results of the business What you should have 15+ years of experience in finance or related functions Experience building, managing, and developing diverse and teams Stakeholder management skills, working exceptionally well cross-functionally and managing a team that can do so, as well Experience with gaming or consumer-based businesses Excellent communication skills in addressing multiple constituents A knack for setting measurable goals for the team and reliably executing against them Strong appreciation and focus on data-driven decision making Strong work ethic ...with a ton of capacity to have fun! &nbsp; Benefits and Perks Medical insurance including Health, Dental, Vision&nbsp; 13 paid holidays&nbsp; Unlimited sick days&nbsp; Parental Leave and fertility benefits&nbsp; Supported-employee clubs and Employee Resource Groups&nbsp; Commuter Contributions of $270 a month (pretax)&nbsp; Daily lunches and unlimited snacks&nbsp; Monthly gym and fitness stipend&nbsp; About Us Friends, coworkers, gamers, nerds, moms, dads, engineers, designers, marketers, support. Originally, we created Discord to help people come together around games. It's been amazing to watch it grow into what it is today - a place where millions of diverse communities exist and people connect with old friends and new. Diversity and inclusiveness are a critical part of how we get to what's next. We believe that with diversity comes a better product, better decisions, and a better work environment. As we continue to grow, our values keep us dedicated to building a company that is representative of the world we live and play in. Discord is an equal opportunity employer committed to promoting an inclusive work environment free of discrimination and harassment. We value diversity, inclusion, and aim to provide a sense of belonging for everyone."
"Vice President for Business and Finance","Greenville, SC 29614","","Position Summary: The Vice President for Business and Finance (VPBF) functions as a key member of the University’s administrative leadership team, providing both strategic and operational support to the University. The VPBF reports directly to the President and directly assists the Executive team, and other senior leadership on all strategic and tactical matters as they relate to financial forecasting, cost benefit analysis, and budget management.
PRINCIPAL DUTIES AND RESPONSIBILITIES:
The VPBF contributes to a wide array of institution-wide planning consistent with the mission, core values and vision of the University.
As the University’s Chief Financial Officer, the VPBF bears chief responsibility for financial strategy and has primary operational responsibility for the business office, including those matters related to financial oversight and audit.
The VPBF provides direct management and guidance to Human Resources, Facilities, IT, Risk Management and Retail operations.
The VPBF supervises a team of 6 staff members directly, with over 120 total employees.
The VPBF serves as primary staff liaison for Board of Trustees including Finance and Audit committee and the Personnel and Plant committee.
Strategy
Support the president as part of the executive leadership team on operational and strategic issues as they arise; provide strategic recommendations to the president based on financial analysis and projections, cost identification and allocation, and revenue/expense analysis.
Participate in the ongoing strategic planning process as an integral member of the executive leadership team.
Oversee long-term budgetary planning and cost management in alignment with BJU’s strategic plan.
Engage with the other vice presidents to align financial management with short and long-term financial planning and projections.
Coordinate with the Investment Committee on the investment and oversight of retirement plan, endowment assets, and excess cash.
Financial and Operational Management
Advise the president on college business issues and the fiscal impact of policy options.
Provide financial analysis, long-range financial projections and long-term planning to assist the administration in making sound fiscal decisions.
Responsible for timely and accurate preparation, submission and administration of the University’s budget. Coordinates the budget planning process including the distribution of materials and information regarding budget preparation for all University programs and sources of funding. Oversee, administer and coordinate all expenditures within the university’s budget.
Ensure that finance staff maintains financial record systems in accordance with Generally Accepted Accounting Principles, and monitor the use of all funds.
Manage cash flow and forecasting; direct all financial, project-based, and departmental accounting.
Coordinate all audit activities.
Provide guidance for all benefits negotiations, helping to provide the most competitive packages for BJU employees.
Review all formal finance, HR, Facilities, Retail and IT-related procedures, processes, and administration, recommending improvements to the systems in place and managing the systems going forward.
Coordinate capital projects with the Director of Facilities to ensure that contracts are in compliance with all federal and state requirements.
Team Management
Develop and lead direct staff, to include Finance, HR, Facilities Retail, Risk Management and IT operations.
Engage other members of the senior management team to facilitate cross department collaboration that ensures that all financial, IT, and HR solutions positively support BJUs evolving strategy, operational delivery, and data collection needs.
Communicate the religious beliefs of BJU to students and student affiliates.
Answer questions concerning faith, doctrine and creed of BJU to constituents, students, or those inquiring about BJU.
Required Education: Bachelor's Degree Required
Required Experience: Five or more years related experience"
"Vice President, Finance and Strategy","Minnetonka, MN 55305","","With eight individual brands and more than 1,500 hotels internationally, Radisson Hotel Group Americas is one of the largest, most dynamic hotel groups in the world. Our portfolio includes Radisson Collection, Radisson Individuals, Radisson Blu, Radisson, Radisson RED, Park Plaza, Park Inn by Radisson and Country Inn & Suites by Radisson.
At the heart of Radisson Hotel Group is our brand promise, Every Moment Matters. More than our signature, it is simply how we do business and who awe are at the core. We strive to provided a meaningful employment experience with a focus on developing our team's talents because we believe our people are the center of our success. Your next opportunity starts here. Join a team of moment makers today!
Job Summary
The VP, Finance and Strategy will serve as a key leader within the Finance team and as a key financial interface between Finance and senior leadership. This position reports directly to the CFO to ensure the alignment of corporate goals and long-term financial and strategic performance. This position will be critical in elevating the Finance organization with streamlined processes and capabilities in order to enable the company strategy.
The VP, Finance and Strategy will be responsible for delivering forward looking, value-added business analysis as well as defining and reporting meaningful financial and operational metrics that lead to insightful, accurate business decision-making. The VP, Finance and Strategy will have oversight of the corporate FP&A team, the managed hotels finance team, and investment team. This team will bring a comprehensive understanding of all key business drivers and sophisticated financial models that enable the team to deliver insightful, value-added analysis across the company. The VP, Finance and Strategy is also responsible for leading the company-wide strategic planning process through the 5 year plan.
Responsibilities
Lead the Finance and Strategy team and partner with the corporate leadership team to provide value-added insight into the business.
Partner with CFO to identify and execute actions that drive profitable growth, gain market share, improve operational efficiencies and increase productivity.
Enable the 5YP process through clear, concise plan and commitments for process calendar, CEO and Board updates, and hands on support to business leads and initiatives.
Prepare a monthly, quarterly and annual reporting package that includes consolidated financial statements, comprehensive Key Performance Indicator (KPI) reporting, operational dashboard reporting, analysis of key business trends, actual versus budget/forecast variances and comprehensive executive level explanations of differences.
Develop and monitor the company’s annual budget and monthly rolling 18-month forecasts, which shall include establishing budget tools, setting timelines and acting as project manager for the company, ensuring all budgets are accurate, comprehensive and completed on time.
Prepare and monitor the company’s long range strategic planning models for the 5 year plan. Ensuring that all initiatives are on track and that each initiative’s KPIs are calculated on a quarterly basis and the comprehensive financial model is updated and integrated into the normal budgeting and forecasting process.
Support external reporting, to the owners, the Board and other external stakeholders including analyses, commentary and presentation materials for Board meetings
Provide financial modeling, financial analysis and valuation support for acquisitions, investment underwriting, long-term contracts and other ad-hoc financial projects.
Requirements
10 or more years of progressive experience in Finance and Strategic Planning
Strong strategic thinking and results orientation with a track record of meeting or exceeding business objectives.
Investment experience preferred
Track record of enabling the business to deliver on revenue growth leveraging data-based insight of owner and customer behavior
Demonstrated executive presence and interpersonal communication skills
Demonstrated ability to positively influence senior leadership
Ability to operate as a key stakeholder and thought leader in driving, defining and executing the company’s financial planning strategy and can contribute to delivering value to business teams
Strong demonstration of ability to successfully manage and lead a team and create an engaging environment.
Aspires to build a ‘best in class’ organization by introducing industry best practices and recruiting/developing the best talent possible. Quality and results are always top of mind. Demonstrates a passion for talent development.
We are an equal opportunity and affirmative action employer and make employment decisions without regard to age, race, religion, national origin, gender, sexual orientation, gender identity, disability, veteran status, genetic information or other protected class. Background checks are also required before employment begins.
Visa Requirements: We participate in E-Verify and all candidates must be in possession of identification providing authorization to work in the United States as defined in the Immigration Reform and Control Act of 1968 (IRCA). This position does not offer sponsorship of Work Visas."
