flight_no,flight_id,scheduled_departure,scheduled_arrival,departure_airport,arrival_airport,arrival_city,status,actual_departure,actual_arrival,aircraft_code,seats,book_ref,total_amount,amount,fare_conditions,ticket_no
PG0252,136420,2017-01-01T10:05:00Z,2017-01-01T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-01T10:09:00Z,2017-01-01T11:47:00Z,733,130,33C714,48800.00,36600.00,Business,5432052078   
PG0252,136420,2017-01-01T10:05:00Z,2017-01-01T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-01T10:09:00Z,2017-01-01T11:47:00Z,733,130,33C714,48800.00,12200.00,Economy,5432052079   
PG0252,136420,2017-01-01T10:05:00Z,2017-01-01T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-01T10:09:00Z,2017-01-01T11:47:00Z,733,130,46FF49,24400.00,12200.00,Economy,5432052080   
PG0252,136420,2017-01-01T10:05:00Z,2017-01-01T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-01T10:09:00Z,2017-01-01T11:47:00Z,733,130,46FF49,24400.00,12200.00,Economy,5432052081   
PG0252,136458,2017-01-02T10:05:00Z,2017-01-02T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-02T10:07:00Z,2017-01-02T11:46:00Z,733,130,87299D,24400.00,12200.00,Economy,5432052082   
PG0252,136458,2017-01-02T10:05:00Z,2017-01-02T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-02T10:07:00Z,2017-01-02T11:46:00Z,733,130,87299D,24400.00,12200.00,Economy,5432052083   
PG0252,136119,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-03T10:08:00Z,2017-01-03T11:49:00Z,733,130,12221C,12200.00,12200.00,Economy,5432052084   
PG0252,136119,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-03T10:08:00Z,2017-01-03T11:49:00Z,733,130,063F3B,12200.00,12200.00,Economy,5432052085   
PG0252,136119,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-03T10:08:00Z,2017-01-03T11:49:00Z,733,130,1B42CB,24400.00,12200.00,Economy,5432052086   
PG0252,136119,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-03T10:08:00Z,2017-01-03T11:49:00Z,733,130,1B42CB,24400.00,12200.00,Economy,5432052087   
PG0252,136159,2017-01-04T10:05:00Z,2017-01-04T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-04T10:07:00Z,2017-01-04T11:45:00Z,733,130,E5167A,12200.00,12200.00,Economy,5432052088   
PG0252,136159,2017-01-04T10:05:00Z,2017-01-04T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-04T10:07:00Z,2017-01-04T11:45:00Z,733,130,33BBC7,12200.00,12200.00,Economy,5432052089   
PG0252,136159,2017-01-04T10:05:00Z,2017-01-04T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-04T10:07:00Z,2017-01-04T11:45:00Z,733,130,DC8451,12200.00,12200.00,Economy,5432052090   
PG0252,136202,2017-01-05T10:05:00Z,2017-01-05T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-05T10:07:00Z,2017-01-05T11:49:00Z,733,130,E662F6,48800.00,12200.00,Economy,5432052091   
PG0252,136202,2017-01-05T10:05:00Z,2017-01-05T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-05T10:07:00Z,2017-01-05T11:49:00Z,733,130,E662F6,48800.00,36600.00,Business,5432052092   
PG0252,136202,2017-01-05T10:05:00Z,2017-01-05T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-05T10:07:00Z,2017-01-05T11:49:00Z,733,130,89BEC4,24400.00,12200.00,Economy,5432052093   
PG0252,136202,2017-01-05T10:05:00Z,2017-01-05T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-05T10:07:00Z,2017-01-05T11:49:00Z,733,130,89BEC4,24400.00,12200.00,Economy,5432052094   
PG0252,136209,2017-01-06T10:05:00Z,2017-01-06T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-06T10:09:00Z,2017-01-06T11:49:00Z,733,130,916BF1,12200.00,12200.00,Economy,5432052095   
PG0252,136209,2017-01-06T10:05:00Z,2017-01-06T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-06T10:09:00Z,2017-01-06T11:49:00Z,733,130,29301C,48800.00,36600.00,Business,5432052096   
PG0252,136209,2017-01-06T10:05:00Z,2017-01-06T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-06T10:09:00Z,2017-01-06T11:49:00Z,733,130,29301C,48800.00,12200.00,Economy,5432052097   
PG0252,136164,2017-01-07T10:05:00Z,2017-01-07T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-07T10:07:00Z,2017-01-07T11:46:00Z,733,130,D9828A,12200.00,12200.00,Economy,5432052098   
PG0252,136164,2017-01-07T10:05:00Z,2017-01-07T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-07T10:07:00Z,2017-01-07T11:46:00Z,733,130,705CAE,12200.00,12200.00,Economy,5432052099   
PG0252,136122,2017-01-08T10:05:00Z,2017-01-08T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-08T10:08:00Z,2017-01-08T11:48:00Z,733,130,114BE0,12200.00,12200.00,Economy,5432052100   
PG0252,136122,2017-01-08T10:05:00Z,2017-01-08T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-08T10:08:00Z,2017-01-08T11:48:00Z,733,130,E4ED17,12200.00,12200.00,Economy,5432052101   
PG0252,136122,2017-01-08T10:05:00Z,2017-01-08T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-08T10:08:00Z,2017-01-08T11:48:00Z,733,130,6E2238,61000.00,36600.00,Business,5432052102   
PG0252,136122,2017-01-08T10:05:00Z,2017-01-08T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-08T10:08:00Z,2017-01-08T11:48:00Z,733,130,6E2238,61000.00,12200.00,Economy,5432052103   
PG0252,136122,2017-01-08T10:05:00Z,2017-01-08T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-08T10:08:00Z,2017-01-08T11:48:00Z,733,130,6E2238,61000.00,12200.00,Economy,5432052104   
PG0252,136464,2017-01-09T10:05:00Z,2017-01-09T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-09T10:07:00Z,2017-01-09T11:47:00Z,733,130,C5B380,24400.00,12200.00,Economy,5432052105   
PG0252,136464,2017-01-09T10:05:00Z,2017-01-09T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-09T10:07:00Z,2017-01-09T11:47:00Z,733,130,C5B380,24400.00,12200.00,Economy,5432052106   
PG0252,136423,2017-01-10T10:05:00Z,2017-01-10T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-10T10:12:00Z,2017-01-10T11:52:00Z,733,130,735732,24400.00,12200.00,Economy,5432052107   
PG0252,136423,2017-01-10T10:05:00Z,2017-01-10T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-10T10:12:00Z,2017-01-10T11:52:00Z,733,130,735732,24400.00,12200.00,Economy,5432052108   
PG0252,136366,2017-01-11T10:05:00Z,2017-01-11T11:45:00Z,AAQ,SVO,Moscow,Arrived,2017-01-11T10:08:00Z,2017-01-11T11:47:00Z,733,130,B3A0C5,12200.00,12200.00,Economy,5432052109   
